app,month,estimated_downloads,observed_days,calendar_days,is_full_month,daily_avg,mom_change,mom_change_pct,month_rank_desc
小黑盒,2025-04,70838,9,30,否,7870.89,,,13
小黑盒,2025-05,297132,31,31,是,9584.9,226294,319.45,11
小黑盒,2025-06,322250,30,30,是,10741.67,25118,8.45,9
小黑盒,2025-07,317691,31,31,是,10248.1,-4559,-1.41,10
小黑盒,2025-08,354176,31,31,是,11425.03,36485,11.48,8
小黑盒,2025-09,367436,30,30,是,12247.87,13260,3.74,6
小黑盒,2025-10,412808,31,31,是,13316.39,45372,12.35,4
小黑盒,2025-11,424191,30,30,是,14139.7,11383,2.76,3
小黑盒,2025-12,731333,31,31,是,23591.39,307142,72.41,1
小黑盒,2026-01,428461,31,31,是,13821.32,-302872,-41.41,2
小黑盒,2026-02,360014,28,28,是,12857.64,-68447,-15.98,7
小黑盒,2026-03,406313,31,31,是,13106.87,46299,12.86,5
小黑盒,2026-04,233585,21,30,否,11123.1,-172728,-42.51,12
游民星空,2025-04,23384,9,30,否,2598.22,,,13
游民星空,2025-05,68003,31,31,是,2193.65,44619,190.81,2
游民星空,2025-06,78797,30,30,是,2626.57,10794,15.87,1
游民星空,2025-07,65492,31,31,是,2112.65,-13305,-16.89,3
游民星空,2025-08,44620,31,31,是,1439.35,-20872,-31.87,10
游民星空,2025-09,58576,30,30,是,1952.53,13956,31.28,7
游民星空,2025-10,55028,31,31,是,1775.1,-3548,-6.06,8
游民星空,2025-11,64384,30,30,是,2146.13,9356,17.0,4
游民星空,2025-12,60620,31,31,是,1955.48,-3764,-5.85,5
游民星空,2026-01,50124,31,31,是,1616.9,-10496,-17.31,9
游民星空,2026-02,43754,28,28,是,1562.64,-6370,-12.71,11
游民星空,2026-03,59458,31,31,是,1918.0,15704,35.89,6
游民星空,2026-04,37612,21,30,否,1791.05,-21846,-36.74,12
