operation_dimension,operation_scene,keyword_count,search_index_sum,search_index_mean,xhh_avg_rank,ym_avg_rank,top50_count,high_demand_count,core_clue_count,top_keywords
复核/排除,待人工复核,369,1796896,4869.64,48.84,65.5,2,30,0,zteam、sdm、扣扣、亿万答题王、微软teams、悠悠人生、有乐、小黑哥
受众需求背景,泛游戏需求观察,103,543140,5273.2,47.83,84.26,6,35,0,免费游戏、全部小游戏、小熊消消乐、无忧小院、小狗爱旅行、游戏动力、医生小游戏、游戏空间
内容运营,内容运营/热点游戏线索,85,468723,5514.39,15.47,29.05,9,39,56,永劫无间、永劫无间手游、全职猎人、瓦罗兰特、野餐大冒险、无畏契约、永恒无间、无限契约
平台生态/竞品观察,平台生态/玩家圈层,81,420616,5192.79,10.35,24.11,9,24,38,switch、steam、switch游戏、蒸汽、jump switch、playstation、主机游戏、主机
平台生态/竞品观察,平台生态/竞品观察,65,377429,5806.6,7.74,15.06,18,39,45,小黑盒、游民星空、游戏盒子、游侠、原神小黑盒、游侠网、xhh、手游快爆
复核/排除,非目标/噪声复核,29,169768,5854.07,43.0,86.9,4,20,0,进佣、应用商店下载、邕有家、w p s、远离手机、邮宝、彬果、凤凰商城
社区运营,社区运营/互动关系,15,75761,5050.73,14.2,6.27,1,2,7,游戏社区、游戏论坛、易游戏社区、社区、小空间-社区、玩家社区、无界社区、社区e
功能/工具运营,功能运营/工具服务,8,40856,5107.0,26.88,22.75,0,2,4,游戏库、大脚、鱼侠助手、月轮加速器、自走棋助手、5e令牌、瓦洛兰特助手、一元玩-热门游戏福利助手
内容运营,内容运营/攻略资讯,4,19635,4908.75,2.75,2.75,0,0,2,游戏新闻、游戏攻略、游戏资讯、游戏评测
内容运营,内容运营/手游二游圈层,4,19092,4773.0,96.5,92.0,0,0,1,3d游戏手游、手游折扣、无间手游、二游
功能/工具运营,功能运营/交易消费信任,2,11405,5702.5,5.5,32.0,1,1,1,游戏饰品、交易猫助手
